id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Year Released
1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,83,183440,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1983-05-30,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4,1983
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,83,216933,0,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']","['0NKDgy9j66h3DLnN8qu1bB', '5MspMQqdVbdwP6ax3GXqum', '7gcCQIlkkfbul5Mt0jBQkg']",1983-01-04,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,4,1983
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,83,216053,0,['Bryan Adams'],['3Z02hBLubJxuFJfhacLSDc'],1984-11-05,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,4,1984
0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,80,231333,0,['Wham!'],['5lpH0xAS4fVfLkACg9DAuM'],1984-10-23,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,4,1984
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,80,241600,0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],1984-01-04,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4,1984
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,86,225280,0,['a-ha'],['2jzc5TC5TVFLXQlBNiIUzE'],1985-06-01,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4,1985
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,84,251489,0,['Tears For Fears'],['4bthk9UfsYUYdcFyqxmSUU'],1985-02-25,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,1985
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),82,237106,0,"['Grover Washington, Jr.', 'Bill Withers']","['05YVYeV4HxYp5rrWalvuE1', '1ThoqLcyIYvZn7iWbj8fsj']",1985,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,4,1985
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,84,249293,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,4,1986
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,81,222707,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4,1986
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),83,291293,0,['Whitney Houston'],['6XpaIBNiVzIetEPCWDvAFP'],1987-06-02,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4,1987
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,82,354520,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,4,1987
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,80,295516,0,['U2'],['51Blml2LZPmy7TTiAg47vQ'],1987-03-03,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4,1987
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,80,277477,0,['U2'],['51Blml2LZPmy7TTiAg47vQ'],1987-03-03,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,4,1987
57bgtoPSgt236HzfBOd8kj,Thunderstruck,83,292880,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1990-09-24,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,1990
